Extracting links from main url...
Extracting individual faculty info...
Lisa Celovsky                  ['Education', 'PhD, University of Toronto', 'MA, University of Toronto', 'BA, Pennsylvania State University']
Thomas Connolly                ['Education', 'PhD, Tufts University', 'MA, Boston University', 'BA, Suffolk University']
Leslie Eckel                   ['Education', 'PhD, Yale University', 'MPhil, University of Oxford', 'BA, Harvard University']
Peter Jeffreys                 ['Education', 'PhD, University of Toronto', 'MA, Boston College', 'BA, Hellenic College']
George Kalogeris               ['Education', 'PhD, Boston University', 'MA, Boston University', 'BS, Suffolk University']
Marilyn Jurich                 ['Education', 'PhD, Tufts University', 'MA, Northwestern University', 'BA, Hunter College']
Bette Mandl                    ['Education', 'EdD, Boston University', 'MA, New York University', 'BA, Brooklyn College']
Fred Marchant                  ['Education', 'PhD, University of Chicago', 'MA, University of Chicago', 'BA, Brown University']
Marlene McKinley               ['Education', 'PhD, University of Chicago', 'BA, Carnegie Mellon University']
Anthony Merzlak                ['Education', 'PhD, Harvard University', 'MA, Harvard University', 'BA, University of Southern California']
D. Quentin Miller              ['Education', 'PhD, University of Connecticut', 'MA, The College of William and Mary', 'BA, Boston College']
Richard Miller                 ['Education', 'PhD, Bowling Green State University', 'MA, New Mexico State University', 'BA, Minnesota State University, Moorhead']
Stuart Millner                 ['Education', 'AB, Boston University', 'AM, Brandeis University', 'PhD, Brandeis University']
Amy Monticello                 ['Education', 'MFA, The Ohio State University', 'BA, Ithaca College']
Gerald Richman                 ['Education', 'PhD, Yale University', 'MPhil, Yale University', 'BA, Oxford University', 'BA, University of Massachusetts, Amherst']
Bryan Trabold                  ['Education', 'PhD, University of Wisconsin, Madison', 'MA, University of Wisconsin, Madison', 'BA, George Washington University']
Da Zheng                       ['Education', 'PhD, Boston University', 'MA, Boston University', 'MA, Shanghai International Studies University', 'BA, Beijing Language and Culture University']
Agnes Bain                     ['Education', 'PhD, Boston University', 'BA, McGill University, Canada']
Eric Bellone                   ['Education', 'JD, University of New Hampshire Law School']
John C. Berg                   ['Education', 'PhD, Harvard University', 'MA, Harvard University', 'BA, University of Wisconsin']
Rachael Cobb                   ['Education', 'PhD, Massachusetts Institute of Technology', 'BA, Bryn Mawr College']
Brian Conley                   ['Education', 'PhD, New School for Social Research', 'MA, New School for Social Research', 'BA, University of Massachusetts, Amherst']
Kenneth Cosgrove               ['Education', 'PhD, University of Oklahoma', 'BA, Suffolk University']
Roberto Dominguez              ['Education', 'PhD, University of Miami', 'MA, Ortega y Gasset Foundation, Spain']
Judith Dushku                  ['Education', 'MALD, Tufts University', 'MA, Tufts University', 'BA, Brigham Young University']
Mary Flaherty                  ['Education', 'JD, Chicago-Kent College of Law', 'BA, University of Chicago']
Graham Kelder                  ['Education', 'JD, Northeastern University', 'BA, The Johns Hopkins University']
Robert Laffey                  ['Education', 'PhD, University of Notre Dame']
Kaori Lindeman                 ['Education', 'PhD, Johns Hopkins University', 'MA, The George Washington University', 'BA, Sophia University, Tokyo, Japan']
David Paleologos               ['College of Arts & Sciences > Faculty > Faculty Directory > David Paleologos, Director of the Political Research Center']
Sebastian Royo                 ['Education', 'PhD, Boston University']
Allan Tow                      ['Education', 'JD, Boston College Law School', 'BA, Brandeis University']
Maria Toyoda                   ['Education', 'B.A., Human Biology, Stanford University, with Honors in Values, Technology, Science and Society', 'M.A., Goverment, Georgetown University', 'Ph.D., Goverment, Georgetown University']
Weiqi Zhang                    ['Education', 'PhD, University of Georgia', 'MA, University of Kentucky', 'BA, Fudan University, China']
Robert Allison                 ['Education', 'PhD, Harvard University', 'MA, Harvard University', 'BA, Harvard University Extension']
Robert Bellinger               ['Education', 'PhD, Boston College', 'MEd, Harvard University', 'BA, Amherst College']
John Cavanagh                  ['Education', 'PhD, Duke University', 'MA, Columbia University', 'BA, Dartmouth College']
Kenneth S. Greenberg           ['Education', 'PhD, University of Wisconsin', 'MA, Columbia University', 'BA, Cornell University']
Robert E. Hannigan             ['Education', 'PhD, Princeton University', 'MA, Princeton University', 'AB, Cornell University']
Michele Plott                  ['Education', 'PhD, Yale University', 'MPhil, Yale University', 'MA, Yale University', 'BA, University of California, San Diego']
Patricia A. Reeve              ['Education', 'PhD, Boston College', 'MA, Northern Illinois University, Dekalb', 'BA, Northern Illinois University, Dekalb']
Ronald Suleski                 ['Education', 'PhD, University of Michigan', 'MA, University of Michigan', 'BA, University of Pittsburgh']
Yong Xue                       ['Education', 'PhD, Yale University', 'MA, Yale University', 'BA, Peking University, Beijing']
Edith Cook                     ['Education', 'PhD, University of Rochester', 'BA, Wheaton College']
Donald Cohn                    ['Education', 'PhD, Harvard University', 'MA, Harvard University', 'AB, Oberlin College']
Paul N. Ezust                  ['Education', 'BS, Widener College', 'MS, Tufts University', 'PhD, Tufts University']
Xinxin Jiang                   ['Education', 'PhD, Tufts University', 'MS, Tsinghua University, Beijing, P.R. China', 'BS, Tsinghua University, Beijing, P.R. China']
Sheldon Joyner                 ['Education', 'PhD, Purdue University', 'MSc, Stellenbosch University']
Edgar Karapetian               ['Education', 'PhD, Concordia University, Montreal, Canada', 'MS/BS, Polytechnic Institute, Yerevan, Armenia']
Irina Peterburgsky             ['Education', 'PhD, Kiev Institute of Mathematics of Academy of Sciences, Ukraine', 'MS, Kiev University, Ukraine', 'BS, Kiev University, Ukraine']
Pradeep Shukla                 ['Education', 'PhD, Brandeis University', 'MS, Vikram University, Ujjain, India', 'BS, Vikram University, Ujjain, India']
Dan Stefanescu                 ['Education', 'PhD, Harvard University', 'MS, Harvard University', 'BS, Massachusetts Institute of Technology']
Tan VoVan                      ['Education', 'PhD, Brandeis University', 'MA, Brandeis University', 'BA, University of Geneva']
Zhiyong Xu                     ['Education', 'PhD, University of Cincinnati', 'MS, Huazhong University of Science & Technology']
Dmitry Zinoviev                ['Education', 'PhD, SUNY at Stony Brook', 'MS, SUNY at Stony Brook', 'MS, Moscow State University']
Evgenia Cherkasova             ['Education', '• PhD, Pennsylvania State University', '• MS, Moscow State University, Russia', '• BS, Moscow State University, Russia']
Nir Eisikovits                 ['Education', 'PhD, Boston University', 'LLB, College of Management School of Law, Israel']
Gregory Fried                  ['Education', 'PhD, University of Chicago', 'MA, University of Chicago', 'BA, Harvard College']
Donna Giancola                 ['Education', 'PhD, Boston University', 'MA, Boston College', 'BA, Assumption College']
Montgomery Link                ['Education', 'PhD, Boston University', 'MTS, Boston University', 'BA, University of Pennsylvania']
Tryan McMickens                ['Education', 'EdD, University of Pennsylvania', 'MEd, Suffolk University', 'BS, Tuskegee University']
Jeppe von Platz                ['Education', 'PhD, University of Pennsylvania', 'MA, University of Tennessee', 'MA, Roskilde University, Denmark', 'BA, Roskilde University, Denmark']
Michael Siegel                 ['Education', 'PhD, Indiana University', 'MS, Georgia State University', 'BA, Wake Forest University']
Craig Christensen              ['Education', 'PhD, Massachusetts Institute of Technology', 'MS, Massachusetts Institute of Technology', 'BS, Massachusetts Institute of Technology']
Chathan Cooke                  ['Education', 'ScD, Massachusetts Institute of Technology', 'MS, Massachusetts Institute of Technology', 'BS, Rensselaer Polytechnic Institute']
Oktay Demir                    ['Education', 'PhD, Boston College', 'MS, Middle East Technical University', 'BA, Middle East Technical University']
Frank Feldman                  ['Education', 'PhD, Boston University', 'MA, Boston University', 'BA, Harvard University']
Walter Johnson                 ['Education', 'PhD, Harvard University', 'MS, Harvard University', 'BA, Rice University']
Scott Lussier                  ['Education', 'MS, University of Massachusetts, Lowell', 'BA, University of Rhode Island']
Jessica Mak                    ['Education', 'MS, Suffolk University', 'BS, University of Vermont']
Polievkt Perov                 ['Education', 'PhD, Russian Academy of Sciences, Moscow, Russia', 'MS, Moscow Physical-Technical University, Moscow, Russia']
