Word,Sentiment Level
unprofessionalism,1.1666666666666667
voided,1.3
argumentative,1.3333333333333333
unethical,1.3714285714285714
inexcusable,1.4651162790697674
disrespectful,1.4722222222222223
livid,1.4857142857142858
incompetent,1.4964028776978417
gall,1.5
unconcerned,1.5
disgusted,1.5081967213114753
dispute,1.5098039215686274
sham,1.5238095238095237
violently,1.5294117647058822
negligence,1.5333333333333334
undesirable,1.5384615384615385
disturbingly,1.5454545454545454
uneatable,1.5555555555555556
discrimination,1.5555555555555556
sarcastically,1.56
unprofessional,1.5625
fraud,1.5714285714285714
refund,1.5788461538461538
unmelted,1.5833333333333333
reimbursement,1.5833333333333333
disgrace,1.6097560975609757
incompetence,1.6153846153846154
dishwater,1.6153846153846154
scam,1.623456790123457
feces,1.625
furious,1.631578947368421
carelessness,1.6363636363636365
fuming,1.6428571428571428
uncalled,1.6666666666666667
scum,1.6666666666666667
unhelpful,1.67
rudely,1.6862745098039216
negligent,1.6875
compensation,1.6883116883116882
oversold,1.6923076923076923
authorization,1.6923076923076923
accused,1.697674418604651
worst,1.6984745212593313
correspondence,1.7
unprofessionally,1.7
unsympathetic,1.7
awol,1.7
disgraceful,1.7
unacceptable,1.7088607594936709
mortified,1.72
liar,1.7230769230769232
twiddling,1.7272727272727273
rancid,1.728813559322034
apathy,1.7333333333333334
deceitful,1.7333333333333334
riddance,1.7333333333333334
disrespect,1.75
unapologetic,1.7619047619047619
appalling,1.7659574468085106
retrain,1.7692307692307692
unclean,1.7692307692307692
shameful,1.7741935483870968
supervisor,1.7804878048780488
insult,1.7841726618705036
unusable,1.7894736842105263
lied,1.7914110429447854
recourse,1.8
marijuana,1.8
degrading,1.8
cuss,1.8
insulting,1.8
poisoning,1.8036529680365296
insincere,1.8181818181818181
decency,1.8181818181818181
scathing,1.8181818181818181
notification,1.8235294117647058
disgusting,1.828235294117647
vomiting,1.829268292682927
apology,1.8438287153652393
condescending,1.845679012345679
greed,1.85
uncaring,1.85
refusal,1.8571428571428572
cuticle,1.8611111111111112
deplorable,1.8620689655172413
rectify,1.8627450980392157
horrible,1.8654104979811574
smudged,1.8666666666666667
threaten,1.875
rudeness,1.8764044943820224
stank,1.8823529411764706
dismissive,1.8846153846153846
disorganization,1.894736842105263
diarrhea,1.8983050847457628
inedible,1.9
optimism,1.9
unworthy,1.9
arbitrary,1.9
termination,1.9
audacity,1.901639344262295
rude,1.9037414965986394
filthy,1.9151943462897527
hostage,1.9166666666666667
unreliable,1.9166666666666667
rotten,1.9189189189189189
dishonest,1.9206349206349207
blamed,1.922077922077922
jackass,1.9230769230769231
documentation,1.9230769230769231
aggravation,1.9230769230769231
anger,1.9259259259259258
stunk,1.930232558139535
displeasure,1.9333333333333333
grudgingly,1.9333333333333333
tablespoon,1.935483870967742
altercation,1.9375
distasteful,1.9375
smirk,1.9411764705882353
cockroach,1.9423076923076923
consent,1.9473684210526316
reversed,1.95
reimburse,1.95
abomination,1.9523809523809523
dispatch,1.9545454545454546
angrily,1.9565217391304348
blankly,1.9565217391304348
refusing,1.9565217391304348
uneducated,1.9655172413793103
pathetic,1.9715909090909092
awful,1.9725490196078432
horrific,1.9770114942528736
abysmal,1.98
defensive,1.9836065573770492
unhappiness,2.0
cancel,2.0
harassment,2.0
impatiently,2.0
scummy,2.0
hurriedly,2.0
malfunction,2.0
rinsing,2.0
repulsive,2.0
irresponsible,2.0
falsely,2.0
cussed,2.0
pubic,2.0
muck,2.0
displeased,2.0
careless,2.017543859649123
yuck,2.0179640718562872
terrible,2.0205999277195517
methinks,2.0294117647058822
bureau,2.0357142857142856
criminal,2.037037037037037
shoddy,2.0444444444444443
unseasoned,2.0444444444444443
hastily,2.0454545454545454
notify,2.046511627906977
racist,2.0491803278688523
unsanitary,2.05
tasteless,2.050228310502283
pitiful,2.0555555555555554
indifference,2.0555555555555554
blatantly,2.06
acknowledge,2.060931899641577
hateful,2.0625
blatant,2.066666666666667
cox,2.0704225352112675
impolite,2.0714285714285716
ungrateful,2.0714285714285716
abusive,2.0714285714285716
poorly,2.0718816067653276
waive,2.073170731707317
downhill,2.075657894736842
serial,2.076923076923077
filth,2.076923076923077
liability,2.081081081081081
unwilling,2.081967213114754
defective,2.0833333333333335
interrupted,2.0875
horrendous,2.0903954802259888
rational,2.090909090909091
substandard,2.090909090909091
unpaid,2.090909090909091
denominator,2.090909090909091
unfriendly,2.095940959409594
horrid,2.096
flavorless,2.096703296703297
aggressively,2.096774193548387
sternly,2.1
laughable,2.1
